k,time,wind_mps,P_pu,Q_pu,wr_pu,P_MW,Q_Mvar,dayOfYear,month
1403,21-Aug-2024 16:00:00,14.4988908099505,0.895986500037416,-0.0513712103778734,1.19952201282177,1021.42461004265,-58.5631798307756,234,8
1404,21-Aug-2024 20:00:00,14.543360033714,0.897958507166871,-0.0510877434360007,1.19951794492898,1023.67269817023,-58.2400275170408,234,8
1405,22-Aug-2024 00:00:00,13.522292510603,0.899827148818097,-0.053660585181186,1.19978242785642,1025.80294965263,-61.173067106552,235,8
1406,22-Aug-2024 04:00:00,13.8035155962612,0.898241911695795,-0.0533060800084358,1.19964323361246,1023.99577933321,-60.7689312096168,235,8
1407,22-Aug-2024 08:00:00,12.0984007933977,0.84205276715,-0.094234592338102,1.20039988457764,959.940154551,-107.427435265436,235,8
1408,22-Aug-2024 12:00:00,11.4910957339313,0.741987109542016,-0.146944883981802,1.20071692867752,845.865304877899,-167.517167739254,235,8
1409,22-Aug-2024 16:00:00,10.4945279732082,0.56773576684091,-0.205448047793061,1.14163148508057,647.218774198637,-234.21077448409,235,8
1410,22-Aug-2024 20:00:00,8.8136853330993,0.373668195814671,-0.23042277498674,0.995051065113506,425.981743228724,-262.681963484884,235,8
1411,23-Aug-2024 00:00:00,6.69372576980475,0.220777659426317,-0.226772342629355,0.831900430359476,251.686531746002,-258.520470597465,236,8
1412,23-Aug-2024 04:00:00,5.59009746855563,0.170097453685787,-0.224133320739444,0.767553161168323,193.911097201797,-255.511985642966,236,8
1413,23-Aug-2024 08:00:00,8.45505720431026,0.347284472420815,-0.23440362517976,0.964781166128066,395.904298559729,-267.220132704927,236,8
1414,23-Aug-2024 12:00:00,9.62599308834979,0.45816231270715,-0.226874973757515,1.06580326393627,522.305036486151,-258.637470083567,236,8
1415,23-Aug-2024 16:00:00,11.1622627824185,0.665624267137719,-0.176402847059921,1.19538239890101,758.811664537,-201.09924564831,236,8
1416,23-Aug-2024 20:00:00,9.20299174867138,0.415969441666665,-0.22944310305292,1.02872231148661,474.205163499998,-261.565137480329,236,8
1417,24-Aug-2024 00:00:00,9.2422200209928,0.414610360996764,-0.229505518996608,1.0321141902604,472.655811536311,-261.636291656133,237,8
1418,24-Aug-2024 04:00:00,7.27542199244581,0.242753454615186,-0.230375486632046,0.872208950820908,276.738938261312,-262.628054760533,237,8
1419,24-Aug-2024 08:00:00,9.34725818709371,0.427992285891929,-0.227903957701585,1.04132464722572,487.911205916799,-259.810511779807,237,8
1420,24-Aug-2024 12:00:00,10.2844284197648,0.541924270830526,-0.211518776810818,1.12359185175872,617.793668746799,-241.131405564332,237,8
1421,24-Aug-2024 16:00:00,11.5899658398032,0.761152596160518,-0.138247018736982,1.20054796481717,867.71395962299,-157.601601360159,237,8
1422,24-Aug-2024 20:00:00,10.9539982938552,0.640284644385941,-0.18740142803868,1.17948741895919,729.924494599972,-213.637627964095,237,8
1423,25-Aug-2024 00:00:00,11.3509901402306,0.715084425744602,-0.158810307576024,1.20093443018076,815.196245348846,-181.043750636668,238,8
1424,25-Aug-2024 04:00:00,12.5424013142912,0.910454047388941,-0.0508768197477724,1.19831500821855,1037.91761402339,-57.9995745124605,238,8
1425,25-Aug-2024 08:00:00,11.93378120607,0.818793982232644,-0.105488283545041,1.19993965188639,933.425139745214,-120.256643241346,238,8
1426,25-Aug-2024 12:00:00,12.2629729163271,0.875997829175676,-0.0708444062698841,1.20077381078272,998.637525260271,-80.7626231476679,238,8
1427,25-Aug-2024 16:00:00,12.8298058291085,0.902930376395741,-0.0543822624992242,1.20027791058805,1029.34062909114,-61.9957792491156,238,8
1428,25-Aug-2024 20:00:00,10.972431666709,0.636137487200101,-0.18675475392312,1.18094318825834,725.196735408115,-212.900419472357,238,8
1429,26-Aug-2024 00:00:00,8.777202055319,0.376073744020539,-0.234330392027208,0.991957642311629,428.724068183415,-267.136646911017,239,8
1430,26-Aug-2024 04:00:00,7.7310589864936,0.278287304626544,-0.235379583116965,0.906433488979804,317.24752727426,-268.33272475334,239,8
1431,26-Aug-2024 08:00:00,6.07467045320048,0.181862933962665,-0.227558311798133,0.793665315646697,207.323744717438,-259.416475449872,239,8
1432,26-Aug-2024 12:00:00,6.11576962708763,0.1904185631734,-0.223298119919098,0.796046650283761,217.077162017676,-254.559856707771,239,8
1433,26-Aug-2024 16:00:00,6.6636869041245,0.218394626277436,-0.233111250015637,0.829933173638776,248.969873956278,-265.746825017826,239,8
1434,26-Aug-2024 20:00:00,6.66813326250741,0.213190163856658,-0.231874058711555,0.830212682382735,243.03678679659,-264.336426931173,239,8
1435,27-Aug-2024 00:00:00,9.6219845711005,0.46087271353264,-0.226146312810721,1.06549926308216,525.39489342721,-257.806796604222,240,8
1436,27-Aug-2024 04:00:00,12.0517670164158,0.834346539953742,-0.0988497825841968,1.20027998837218,951.155055547266,-112.688752145984,240,8
1437,27-Aug-2024 08:00:00,13.7122605918093,0.895800305874325,-0.0539478157642862,1.19968490981133,1021.21234869673,-61.5005099712863,240,8
1438,27-Aug-2024 12:00:00,13.1516684223267,0.897721650959275,-0.0535755779749181,1.20001800203164,1023.40268209357,-61.0761588914067,240,8
1439,27-Aug-2024 16:00:00,10.5271559846044,0.571537083558065,-0.204835436296344,1.14441421247846,651.552275256194,-233.512397377832,240,8
1440,27-Aug-2024 20:00:00,7.67919793772595,0.28341816939966,-0.237496016712567,0.902462284680583,323.096713115613,-270.745459052326,240,8
1441,28-Aug-2024 00:00:00,7.7146562960628,0.279494470732239,-0.236679693135947,0.905180898832962,318.623696634752,-269.81485017498,241,8
1442,28-Aug-2024 04:00:00,8.24701474535835,0.329879284731601,-0.236593109885943,0.947591244650872,376.062384594025,-269.716145269975,241,8
1443,28-Aug-2024 08:00:00,7.56755132900784,0.276387907528556,-0.237081436534889,0.8939424106675,315.082214582553,-270.272837649773,241,8
1444,28-Aug-2024 12:00:00,8.42340992733308,0.340949943804176,-0.231139105259236,0.962129086042147,388.682935936761,-263.498579995529,241,8
1445,28-Aug-2024 16:00:00,9.21701649606651,0.412396211765141,-0.229444594378989,1.02992102729165,470.131681412261,-261.566837592047,241,8
1446,28-Aug-2024 20:00:00,9.29737738125086,0.425454981644111,-0.228931846036014,1.03697097802487,485.018679074287,-260.982304481055,241,8
1447,29-Aug-2024 00:00:00,8.55081123484395,0.355709881599571,-0.23537640866219,0.972790035926627,405.50926502351,-268.329105874897,242,8
1448,29-Aug-2024 04:00:00,8.74569471920442,0.363219450839993,-0.23155889730737,0.989232074415838,414.070173957592,-263.977142930401,242,8
1449,29-Aug-2024 08:00:00,10.0578478080239,0.511855418483762,-0.217998151667859,1.10383819720805,583.515177071488,-248.517892901359,242,8
